no,protocol,sourceIP,destinationIP,destinationPort,Action
1,tcp,10.1.1.1,20.1.1.1,80,accept
2,tcp,10.1.1.2,20.1.1.1,80,deny
3,tcp,10.1.1.3,20.1.1.1,80,deny
4,tcp,10.1.1.1,20.1.1.2,3601,deny
5,tcp,10.1.1.2,20.1.1.2,3601,accept
6,tcp,10.1.1.3,20.1.1.2,3601,deny
7,tcp,any,20.1.1.1,53,accept
8,tcp,any,20.1.1.2,53,deny
9,udp,10.1.1.1,20.1.1.1,80,accept
10,udp,10.1.1.2,20.1.1.1,80,deny
11,udp,10.1.1.3,20.1.1.1,80,accept
12,udp,10.1.1.1,20.1.1.2,3601,deny
13,udp,10.1.1.2,20.1.1.2,3601,accept
14,udp,10.1.1.3,20.1.1.2,3601,deny
15,udp,any,20.1.1.1,53,deny
16,udp,any,20.1.1.2,53,accept
17,ip,10.1.1.1,20.1.1.1,-,accept
18,ip,10.1.1.2,20.1.1.1,-,deny
19,ip,10.1.1.3,20.1.1.1,-,accept
20,ip,10.1.1.1,20.1.1.2,-,deny
21,ip,10.1.1.2,20.1.1.2,-,accept
22,ip,10.1.1.3,20.1.1.2,-,deny
23,ip,20.1.1.1,10.1.1.1,-,accept
24,ip,20.1.1.2,10.1.1.2,-,accept
25,tcp,20.1.1.2,10.1.1.1,65,accept
26,udp,20.1.1.2,10.1.1.2,60,deny
